----------------------------------------------
PZ-Out TotHead [m]: 
    2016/06/17 03:45:00 428.744830 
    2016/06/17 04:00:00 428.750080 
    2016/06/17 04:15:00 428.750660 
    2016/06/17 04:30:00 428.746580 
    2016/06/17 04:45:00 428.746580 
    2016/06/17 05:00:00 428.748330 
    2016/06/17 05:15:00 428.746580 
    2016/06/17 05:30:00 428.746580 
    2016/06/17 05:45:00 428.748330 
    2016/06/17 06:00:00 428.748910 
    2016/06/17 06:15:00 428.745410 
    2016/06/17 06:30:00 428.747160 
    2016/06/17 06:45:00 428.748910 
    2016/06/17 07:00:00 428.745410 
    2016/06/17 07:15:00 428.745410 
    2016/06/17 07:30:00 428.741910 
    2016/06/17 07:45:00 428.744250 
    2016/06/17 08:00:00 428.740750 
    2016/06/17 08:15:00 428.743080 
    2016/06/17 08:30:00 428.739000 
    2016/06/17 08:45:00 428.740750 
    2016/06/17 09:00:00 428.743080 
    2016/06/17 09:15:00 428.741330 
    2016/06/17 09:30:00 428.744250 
    2016/06/17 09:45:00 428.742750 
    2016/06/17 10:00:00 428.740410 
    2016/06/17 10:15:00 428.738660 
    2016/06/17 10:30:00 428.740410 
    2016/06/17 10:45:00 428.736660 
    2016/06/17 11:00:00 428.734000 
    2016/06/17 11:15:00 428.732830 
    2016/06/17 11:30:00 428.731410 
    2016/06/17 11:45:00 428.731410 
    2016/06/17 12:00:00 428.726160 
    2016/06/17 12:15:00 428.725000 
    2016/06/17 12:30:00 428.729080 
    2016/06/17 12:45:00 428.723830 
    2016/06/17 13:00:00 428.725000 
    2016/06/17 13:15:00 428.726160 
    2016/06/17 13:30:00 428.723830 
    2016/06/17 13:45:00 428.719750 
    2016/06/17 14:00:00 428.716250 
    2016/06/17 14:15:00 428.714500 
    2016/06/17 14:30:00 428.710410 
    2016/06/17 14:45:00 428.708660 
    2016/06/17 15:00:00 428.711580 
    2016/06/17 15:15:00 428.705410 
    2016/06/17 15:30:00 428.708330 
    2016/06/17 15:45:00 428.707750 
    2016/06/17 16:00:00 428.704830 
    2016/06/17 16:15:00 428.704250 
    2016/06/17 16:30:00 428.702500 
    2016/06/17 16:45:00 428.699000 
    2016/06/17 17:00:00 428.700750 
    2016/06/17 17:15:00 428.698410 
    2016/06/17 17:30:00 428.696660 
    2016/06/17 17:45:00 428.694910 
    2016/06/17 18:00:00 428.694910 
    2016/06/17 18:15:00 428.693160 
    2016/06/17 18:30:00 428.694910 
    2016/06/17 18:45:00 428.694910 
    2016/06/17 19:00:00 428.693750 
    2016/06/17 19:15:00 428.691410 
    2016/06/17 19:30:00 428.695500 
    2016/06/17 19:45:00 428.697250 
    2016/06/17 20:00:00 428.700500 
    2016/06/17 20:15:00 428.702500 
    2016/06/17 20:30:00 428.702500 
    2016/06/17 20:45:00 428.706000 
    2016/06/17 21:00:00 428.708330 
    2016/06/17 21:15:00 428.706580 
    2016/06/17 21:30:00 428.710410 
    2016/06/17 21:45:00 428.710410 
    2016/06/17 22:00:00 428.712160 
    2016/06/17 22:15:00 428.712750 
    2016/06/17 22:30:00 428.716250 
    2016/06/17 22:45:00 428.718000 
    2016/06/17 23:00:00 428.714500 
    2016/06/17 23:15:00 428.715660 
